5504.85,13128,3082.72,DANIROX
7953.5,13308,4453.96,DANIROX
5056.7,12145,2831.75,DANIROX
6063.88,13059,3395.77,DANIROX
12749.17,6971,7139.54,DANIROX
12749.17,6970,7139.54,DANIROX
7937.33,6973,4444.9,DANIROX
12901.63,6972,7224.91,DANIROX
7211.98,13057,4038.71,DANIROX
7211.98,13019,4038.71,DANIROX
4312.86,13058,2415.2,DANIROX
12633.52,8956,7074.77,DANIROX
7577.6,8957,4243.46,DANIROX
16255.69,88,9103.19,DANIROX
15785.52,13285,8839.89,DANIROX
11001.85,231,6161.04,DANIROX
9903.47,90,5545.94,DANIROX
9833.44,1523,5506.73,DANIROX
12254.29,86,6862.4,DANIROX
11073.51,84,6201.17,DANIROX
13152.53,12748,7365.42,DANIROX
4781.67,89,2677.74,DANIROX
4544.51,83,2544.93,DANIROX
5157.72,85,2888.32,DANIROX
8164.31,4192,4572.01,DANIROX
11146.31,4194,6241.93,DANIROX
18475.87,6884,10346.49,DANIROX
25968.8,13301,14542.53,DANIROX
33670.84,13302,18855.67,DANIROX
5696.04,13282,3189.78,DANIROX
6792.38,568,3803.73,DANIROX
8775.32,569,4914.18,DANIROX
14375.1,9856,8050.06,DANIROX
19519.19,10653,10930.75,DANIROX
25154.67,10654,14086.62,DANIROX
5199.75,102,2911.86,DANIROX
6627.78,103,3711.56,DANIROX
10778.76,104,6036.11,DANIROX
32436.49,13029,18164.43,DANIROX
8932.19,12432,5002.03,DANIROX
10800.21,13297,6048.12,DANIROX
19253.28,12057,10781.84,DANIROX
11750.89,12262,6580.5,DANIROX
14442.62,12229,8087.87,DANIROX
14616.1,12263,8185.02,DANIROX
10671.16,11548,5975.85,DANIROX
9407.97,3582,5268.46,DANIROX
10847.79,3589,6074.76,DANIROX
18822.65,12134,10540.68,DANIROX
12113.21,3439,6783.4,DANIROX
12204.88,3584,6834.73,DANIROX
28718.22,13265,16082.2,DANIROX
9530.78,13254,5337.24,DANIROX
12374.09,13389,6929.49,DANIROX
10451.66,11866,5852.93,DANIROX
13544.51,4873,7584.93,DANIROX
16750.55,13215,9380.31,DANIROX
13753.06,4872,7701.71,DANIROX
14981.56,13216,8389.67,DANIROX
18392.79,11818,10299.96,DANIROX
22084.57,12874,12367.36,DANIROX
11845.25,11013,6633.34,DANIROX
34002.69,10109,19041.51,DANIROX
34002.69,10192,19041.51,DANIROX
61705.35,10188,34555.0,DANIROX
61705.35,10436,34555.0,DANIROX
9081.53,5463,5085.66,DANIROX
11030.38,6923,6177.01,DANIROX
5152.56,12036,2885.43,DANIROX
9565.47,11607,5356.66,DANIROX
9565.47,11608,5356.66,DANIROX
5003.58,11549,2802.0,DANIROX
3726.97,3583,2087.1,DANIROX
4806.83,3116,2691.82,DANIROX
5752.55,3117,3221.43,DANIROX
8439.93,10125,4726.36,DANIROX
10036.66,4871,5620.53,DANIROX
9423.85,11034,5277.36,DANIROX
12138.62,11332,6797.63,DANIROX
28052.84,10096,15709.59,DANIROX
28052.84,10656,15709.59,DANIROX
54225.93,10187,30366.52,DANIROX
54225.93,1196,30366.52,DANIROX
5873.25,5471,3289.02,DANIROX
5162.65,1507,2891.08,DANIROX
7593.11,11208,4252.14,DANIROX
6904.02,8804,3866.25,DANIROX
3947.03,1486,2210.34,DANIROX
5626.45,187,3150.81,DANIROX
3729.27,1487,2088.39,DANIROX
5408.69,6912,3028.87,DANIROX
1146.08,1581,641.8,DANIROX
1588.76,562,889.71,DANIROX
3811.61,13084,2134.5,DANIROX
3811.61,13085,2134.5,DANIROX
3004.01,1498,1682.25,DANIROX
2830.19,6877,1584.91,DANIROX
463.19,1069,259.39,DANIROX
575.471,1070,322.26,DANIROX
706.36,1071,395.56,DANIROX
428814.09,5410,240135.89,DANIROX
530605.4,12103,297139.02,DANIROX
398.417,2113,223.11,DANIROX
515.3,2114,288.57,DANIROX
665.733,2088,372.81,DANIROX
614.287,10800,344.0,DANIROX
781.819,411,437.82,DANIROX
925.072,4837,518.04,DANIROX
1279.56,4838,716.55,DANIROX
1976.4,4839,1106.78,DANIROX
1906.43,2177,1067.6,DANIROX
9386.07,2182,5256.2,DANIROX
14306.65,2183,8011.72,DANIROX
2806.27,2178,1571.51,DANIROX
4049.76,2179,2267.87,DANIROX
5875.66,2181,3290.37,DANIROX
